#{"t_start": 1780583995.800923, "env_id": "None"}
r,l,t
68.841995,183,20.330236
356.743816,465,25.767885
-29.504129,102,27.270078
88.156642,236,29.906399
-93.583337,28,30.247858
1034.327451,1000,40.953778
22.880375,134,43.615333
128.506212,235,46.31915
4.540135,148,47.904523
15.775203,125,49.314667
8.619308,126,50.677329
65.909695,199,52.721432
47.120188,164,54.436584
776.373,1000,66.507972
712.009294,845,76.060102
261.499721,500,81.769936
160.936191,305,85.123323
216.477896,351,89.601913
-35.089662,78,90.585253
117.342966,207,92.799063
543.792809,719,100.748254
74.499295,229,103.195614
718.623569,974,127.854363
90.569989,182,133.080875
-40.222603,78,135.02242
-27.028853,94,138.466541
252.495624,492,152.301054
9.070252,164,156.547214
132.504122,231,163.258906
679.237065,830,185.895121
18.238661,129,190.190163
76.107339,223,196.500465
-10.007725,134,200.544811
156.830505,284,208.140432
32.81381,177,213.455312
82.037247,235,219.671393
-35.132754,82,222.382113
-37.169254,78,225.046376
59.482479,197,229.948385
555.973556,928,255.749105
-40.56828,83,258.004156
383.962011,604,274.506015
-24.496381,111,278.290112
479.885418,679,298.877031
-56.197104,74,301.423269
-30.090622,84,303.9954
496.650208,749,326.112265
817.238141,1000,351.808666
233.214825,408,364.534015
898.383814,1000,392.583741
151.155593,346,402.807804
100.206012,235,409.391142
-33.645047,90,412.543871
515.730266,799,437.009998
888.41847,1000,465.675464
287.228122,430,478.271697
347.976562,546,494.584848
250.765259,475,508.040279
281.307806,510,523.695616
99.067843,250,531.640847
-0.01526,122,535.355929
107.835201,271,544.896724
-37.921134,87,547.762511
105.846498,222,554.855978
-21.332239,104,558.146253
577.233583,878,584.28398
328.036277,499,599.095072
125.301962,312,609.890111
113.61875,274,618.390174
799.912562,1000,649.217485
210.150237,364,660.508442
-22.877937,156,666.664792
233.151828,415,679.813368
785.166442,1000,711.704102
181.092577,333,722.446461
636.776559,969,756.3258
199.414803,382,770.585491
13.517801,168,777.004562
227.949546,416,793.713186
491.585708,706,820.455952
630.268761,995,855.244889
-13.880289,132,859.600734
195.088975,325,870.238694
-40.682089,83,873.569077
63.726919,235,883.075749
374.202635,632,905.098317
138.926699,308,917.124652
59.064647,209,925.288022
56.825482,256,933.772359
-7.330607,143,939.153299
4.528629,125,943.915717
49.73342,171,949.590054
833.226355,1000,986.277156
-35.622831,93,989.61612
169.510659,383,1002.661402
500.636963,649,1023.63235
5.904996,170,1031.398326
-40.575011,90,1035.484748
