#{"t_start": 1779607121.6445966, "env_id": "None"}
r,l,t
23.800694,1000,21.714199
151.46011,1000,30.169543
41.808071,1000,39.913494
-149.237516,1000,47.787159
-163.546704,1000,57.364648
97.137173,1000,66.572251
-245.246082,565,72.322072
81.96887,1000,81.200482
-110.91686,561,86.972659
138.318406,1000,96.879244
-174.743346,1000,105.53698
39.114473,1000,114.911996
15.575641,1000,123.85719
127.019519,1000,134.04711
-129.072035,728,141.06116
-10.518255,1000,150.67121
90.736451,1000,159.847094
18.764084,1000,169.280828
187.154663,1000,178.129249
-186.279193,226,180.17536
65.44991,1000,190.458225
-113.179474,1000,199.229432
156.665147,1000,209.276016
111.655463,1000,218.709965
59.502067,1000,228.345095
-39.816093,1000,237.954268
-158.374168,245,240.200146
126.831644,1000,250.531176
-199.478021,432,254.787498
-145.272527,364,258.184593
-77.804868,1000,267.633347
162.317057,1000,276.854269
-341.605405,762,284.535671
-87.658758,1000,293.794795
-87.226773,975,304.072152
-172.708449,189,306.065377
-128.39644,448,310.201129
-245.628214,371,313.655309
116.069,1000,323.633023
-10.467023,1000,333.255595
-140.531526,858,341.890932
-194.974659,111,343.669801
-159.290621,381,347.416929
116.896773,1000,357.463105
-133.304482,466,361.694602
-148.910709,329,365.502156
-108.561456,654,372.208649
-186.804451,128,373.458272
-111.850307,493,377.940459
218.384351,1000,388.350313
-132.490353,258,390.700251
-165.883204,313,393.61308
-153.121711,281,396.182188
-145.640408,300,398.883596
-176.277808,201,400.64689
167.769908,1000,410.290824
-177.586822,547,415.398778
-140.610283,380,419.098607
-82.551383,671,426.051831
-179.942845,160,427.53401
-154.494611,488,431.726769
-220.578651,234,433.823854
-151.871784,381,437.30687
-171.45646,767,444.827718
-151.079401,311,447.918056
-181.714845,397,451.38534
-104.123054,452,455.622818
-138.289586,489,460.189138
-98.534203,591,466.433604
-113.73547,620,472.221673
221.736582,1000,481.468786
234.146968,1000,491.422064
-120.877368,501,496.104051
-153.453404,262,498.521005
-27.007251,1000,508.702258
-95.362402,1000,517.759912
-181.999644,123,518.943154
-59.733307,834,526.913942
-528.161406,996,536.318561
202.379804,1000,546.143338
109.588584,1000,555.15569
26.469628,1000,564.560511
-211.261702,194,566.43501
-209.472393,146,568.031466
-120.416541,522,572.818541
-194.333867,375,576.34574
23.932378,1000,585.99845
-109.953293,586,591.392004
-201.291646,517,595.932687
105.867059,1000,605.547183
66.722663,1000,614.335102
49.678307,1000,623.969968
-140.971061,641,629.736082
-122.711557,464,634.18023
-98.050331,523,639.675761
106.378738,1000,648.611187
-133.291855,388,652.052196
-151.507372,401,656.385804
-129.613886,589,662.040637
-160.958237,196,663.747901
-165.077237,297,666.362044
-93.40173,831,673.732704
-143.336432,587,679.881394
203.98033,1000,689.206004
-179.088205,121,690.399761
-246.536324,822,698.685383
-129.805083,480,703.267704
-46.50474,853,710.743836
-137.873047,528,716.300051
-149.994012,743,723.349191
-165.336523,262,725.876836
-184.631251,458,730.021796
-5.481868,1000,739.431125
-57.646073,811,747.202515
70.502499,1000,756.732154
-185.846573,152,758.168912
-32.394468,1000,766.769655
-49.660653,1000,775.913864
-150.20209,375,779.590661
-107.39712,1000,788.945489
30.008847,1000,798.539609
90.30755,1000,807.436674
-161.72378,484,812.697927
-266.864123,669,819.039122
-105.716476,1000,827.653784
161.437506,1000,837.974586
139.924506,1000,847.493335
-98.530304,664,854.653192
-44.752814,1000,864.052901
-137.104419,837,872.608097
-166.586204,233,874.945214
-52.63318,858,882.998592
-107.384737,974,892.791003
52.432252,1000,902.018031
-182.091888,663,908.371523
-188.33625,510,913.428461
-231.174629,670,919.47987
82.815983,1000,929.285601
-127.058965,601,934.729096
-177.407085,180,936.374811
134.939315,1000,945.259708
-22.249536,1000,954.375264
12.715707,1000,963.606468
-110.746839,717,970.719553
24.270136,1000,979.003807
-308.300724,643,985.212854
98.260172,1000,994.482644
-4.778842,1000,1003.419804
-19.169601,1000,1012.335693
10.516537,1000,1021.444903
-197.885301,208,1023.976639
-324.805289,1000,1032.485336
13.035583,1000,1041.912397
9.623768,1000,1051.19643
-225.59232,417,1054.994853
5.228401,1000,1064.567341
8.382301,1000,1073.764735
36.698889,1000,1083.728812
-100.542884,1000,1092.379541
107.065915,1000,1102.197809
73.957482,1000,1111.090324
-49.258782,1000,1120.48991
72.674859,1000,1129.071508
17.436082,1000,1138.923734
-10.095924,1000,1147.2217
-119.370941,1000,1156.598751
-133.565852,1000,1165.532424
5.216481,1000,1175.156392
-21.948037,1000,1183.989921
114.645659,1000,1193.512669
-103.062314,1000,1202.177694
22.075857,1000,1211.511343
0.43081,1000,1220.454906
-213.096026,700,1226.356524
106.126123,1000,1236.525409
79.172866,1000,1245.777606
84.916326,1000,1255.415431
16.504653,1000,1264.492899
-223.6726,847,1272.432438
-314.494649,874,1280.026927
-10.039413,1000,1289.539633
-19.244505,1000,1298.08752
48.119809,1000,1308.036323
-180.767511,287,1310.776518
-115.252113,474,1315.111427
205.713129,1000,1324.739581
63.462242,1000,1334.032697
75.079603,1000,1343.288337
-14.333264,1000,1353.402002
-244.707079,1000,1362.396415
-13.105357,1000,1371.597438
49.433844,1000,1380.89543
-152.976546,1000,1390.129736
168.517267,1000,1399.190674
-124.044457,489,1404.538457
41.102879,1000,1413.34761
230.146807,1000,1422.992824
-40.225976,1000,1431.919295
-32.336981,1000,1441.605347
88.402471,1000,1450.362413
-86.985735,1000,1459.667623
-206.82158,399,1463.35638
136.762066,1000,1473.024195
-96.215592,858,1481.466212
-84.664828,1000,1490.120411
-165.86189,215,1492.066666
178.145248,1000,1502.47337
-144.351738,387,1505.982171
63.687343,1000,1514.937461
14.156611,1000,1523.883308
-219.679805,978,1532.674388
-182.167905,478,1537.52122
80.076343,1000,1545.954412
-120.087518,376,1549.464698
-34.969086,1000,1558.91255
-120.813754,426,1562.669361
-132.081586,532,1567.627375
-10.111688,1000,1577.042907
-165.121433,518,1581.435309
-151.065042,307,1584.17066
-64.4777,786,1592.15877
-154.20026,338,1595.313501
-621.672993,993,1604.053401
151.16342,1000,1613.604409
58.824666,1000,1622.383651
-203.381723,129,1623.513915
51.189188,1000,1632.669274
107.477607,1000,1641.584439
209.444837,1000,1651.569511
126.115799,1000,1660.8286
10.273275,1000,1670.50358
-112.789134,496,1674.946766
-1.807916,1000,1684.337838
9.661613,1000,1693.870751
-171.067558,292,1696.435184
-193.114095,216,1698.391884
161.785377,1000,1708.066405
-171.215647,250,1710.144008
4.642896,1000,1719.197388
-163.508208,251,1721.47986
16.613445,1000,1731.383636
-204.833374,730,1737.980635
-181.169379,692,1745.516248
2.155161,1000,1754.100987
-11.271254,1000,1762.565989
104.979212,1000,1771.973703
37.187015,1000,1781.050184
148.346597,1000,1790.406427
60.638467,1000,1799.937638
-179.610342,663,1806.31606
8.936398,1000,1815.57181
139.811963,1000,1825.223867
-4.616982,1000,1834.429583
-2.732331,1000,1843.644438
125.164617,1000,1852.79623
11.921578,1000,1862.772444
16.291187,1000,1871.132324
84.656995,1000,1880.816186
1.629905,1000,1889.859551
-292.898415,1000,1898.851451
-153.146929,799,1905.805981
38.110856,1000,1915.355932
123.156251,1000,1924.266966
-11.586532,1000,1933.988989
-31.742014,1000,1942.512372
68.083782,1000,1951.517448
105.442976,1000,1961.391986
-70.268716,1000,1969.96505
12.323239,1000,1979.936205
-99.067847,712,1986.148066
117.940215,1000,1995.565862
107.090799,1000,2004.353587
-135.877761,680,2011.256193
10.496835,1000,2019.669001
135.707682,1000,2028.78423
41.848235,1000,2037.849041
32.591439,1000,2047.389836
69.659139,1000,2055.810594
-122.507107,1000,2065.416639
132.428949,1000,2074.28784
-252.879676,643,2079.848147
-188.203008,99,2080.733228
-184.745621,1000,2089.960382
-226.084562,927,2098.531318
-196.749533,123,2099.714197
-137.848679,413,2104.02993
-89.835001,597,2109.308054
-370.740829,1000,2117.870012
7.315634,1000,2127.739284
65.519258,1000,2136.834773
-154.832868,475,2141.888237
-38.988339,837,2149.40973
-117.266795,905,2157.783048
-45.213057,1000,2167.485962
-169.423564,228,2169.667302
-46.221538,1000,2179.283112
32.205176,1000,2187.986214
217.765486,1000,2197.284553
12.523817,1000,2206.300739
1.986193,1000,2214.774878
166.517246,1000,2224.097169
-36.939148,1000,2232.881802
52.104957,1000,2242.446911
-133.437113,489,2246.863967
40.690887,1000,2256.832935
-142.033223,245,2258.982816
-60.214174,1000,2267.934165
-182.924476,220,2269.967489
-94.87044,465,2274.774581
133.185437,1000,2283.641301
168.44813,1000,2292.979447
67.954565,1000,2301.627397
-37.871574,1000,2311.202209
-68.386441,1000,2319.371518
-33.791351,1000,2328.858805
84.533687,1000,2337.889744
-53.07779,756,2344.352238
60.171165,1000,2353.193249
147.373613,1000,2362.206031
142.823442,1000,2372.50083
166.114458,1000,2381.515647
0.125117,1000,2390.508403
33.999658,1000,2399.6101
63.066901,1000,2409.292361
-50.484145,1000,2418.257665
-3.870382,1000,2427.258261
-210.823457,1000,2436.167847
148.904529,1000,2446.073944
-6.177342,1000,2455.079897
-161.822194,218,2457.053955
56.468819,1000,2466.574148
-226.366972,535,2471.486991
-194.382418,1000,2481.185978
-92.209322,540,2485.956163
-144.869529,740,2492.680758
108.239213,1000,2501.857548
-30.072881,1000,2510.288684
-328.759041,1000,2519.652276
